qb_name,draft_year,draft_round,draft_pick,college,col_conference,recruit_stars,recruit_rating,composite_nfl_score,recruit_rating_scaled,recruit_bias,norm_nfl_ontgt_pct,norm_nfl_badth_pct,norm_nfl_cmp_pct,norm_nfl_any_a,norm_nfl_rate,norm_nfl_qbr,norm_nfl_td_pct,norm_nfl_int_pct,norm_nfl_prss_pct
Mac Jones,2021,1,15,Alabama,SEC,3.0,0.8847,70.79430468143963,88.47,17.675695318560372,0.7743204941724398,0.7659715981470492,0.843389752503116,0.6125566762925069,0.660910826632469,0.5303810504634398,0.47698328719531063,0.6400453129425092,0.8747990714456705
Davis Mills,2021,3,67,Stanford,PAC,5.0,0.9918,55.12541826377942,99.18,44.054581736220584,0.6323321201382526,0.4145395712905018,0.7067780383285314,0.5279252887870152,0.575554671455013,0.33367662203913495,0.48128305647693087,0.5522498648040608,0.7148231564221726
Kenny Pickett,2022,1,20,Pittsburgh,ACC,3.0,0.8567,56.42399766850619,85.67,29.246002331493813,0.5663071348529942,0.5803758105401784,0.6559395162803914,0.4926585266705318,0.5079450536507475,0.5015447991761071,0.20322470819991617,0.8266877925815416,0.6794236863924352
Desmond Ridder,2022,3,74,Cincinnati,AAC,,,67.76487170038624,,,0.7719945147036413,0.7823402437087843,0.7268050471153025,0.5864784178926972,0.5872227476075509,0.5046343975283213,0.3381818796520747,0.6690467034477738,0.9085190119181944
Bailey Zappe,2022,4,137,Western Kentucky,CUSA,,,54.7158210624977,,,0.659625532290272,0.6108545893767052,0.6854754242449577,0.43374524542190485,0.5020404725582539,0.1699279093717817,0.45471729412869416,0.25931660431168546,0.9033985166935256
Sam Howell,2022,5,144,North Carolina,ACC,4.0,0.9582,60.18451612708526,95.82000000000001,35.63548387291475,0.6673610499044611,0.8007971741894719,0.688603758420872,0.4195522089496333,0.5107792109214941,0.49124613800205974,0.43599597089884073,0.3847710333484289,0.7096527066751745
Brock Purdy,2022,7,262,Iowa St.,B12,3.0,0.8594,87.93275343020285,85.94000000000001,-1.9927534302028391,0.7955453805039698,0.8086156113909051,0.9507873970979639,0.9999999999999999,1.0,0.9999999999999999,0.971636234928595,0.6474291147340555,0.8586982153739816
Bryce Young,2023,1,1,Alabama,SEC,5.0,0.9994,49.50605030660984,99.94,50.433949693390154,0.613775721804465,0.3237247612770344,0.5477278388667091,0.39752068227770887,0.4844961791230331,0.4222451081359424,0.3495630503789925,0.75509187715144,0.5876861637299526
C.J. Stroud,2023,1,2,Ohio St.,B1G,4.0,0.9779,65.21119401511787,97.78999999999999,32.57880598488212,0.6884083753580588,0.5087349833669039,0.7030391898420212,0.6939015625851132,0.7320826031368126,0.6271884654994849,0.5414203789863208,0.8611796234964016,0.5946691758214648
Anthony Richardson,2023,1,4,Florida,SEC,4.0,0.9204,24.099604819558923,92.04,67.94039518044109,0.0,0.0,0.08701026087519148,0.5051225266820416,0.34135523727056993,0.5005149330587024,0.39088167070819646,0.3191030511365671,0.5839617440804117
